id,question,this,that
tot1,"What would you want to do with your partner?",Take a Vacation,Start a Business
tot2,"Most important trait in a partner?",Intelligent,Funny
tot3,"On weekends, you would",Sleep In,Go Out
tot4,"When at a party, you're socially",Awkward,Comfortable
tot5,"Which date would you like more?",Candle light dinner,Stargazing
tot6,"What do you want to create?",Lots of wealth,Huge impact on the world
tot7,"Where would you go on a holiday?",Adventure Park,Leisure Resort
tot8,"Where would you discover Harry Potter?",Reading books,Watching movies
tot9,"What makes you happier?",Night lights,Morning skies
tot10,"When eating out, what matters to you?",Good food,Good Ambience